gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, quantum lattice gas, solve fluid dynamics, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, information processors communicating, lattice gas, communicating via classical, classical channels, fluid dynamics
Chem. Inf. Comput, substructural molecular fragments, molecular fragments method, substructural molecular, Inf. Comput, Chem. Inf., fragments method, method The Substructural, molecular, substructural, Solov'ev, Varnek, Wipff, Comput, method
Identification of evolving, evolving fuzzy rule-based, evolving rule-based models, fuzzy rule-based models, Identification, evolving fuzzy, fuzzy rule-based, models, rule-base structure, rules, rule-base, evolving, incremental unsupervised learning, fuzzy, informative
Network of Centres, Centres of Excellence, Canadian HEALNet experience, Canadian Network, Canadian HEALNet, HEALNet experience, Canadian, gained in collaborative, collaborative research, consumer health informatics, Internet support, insights gained, Excellence, Network, Centres
recent string, string of failures, failures among dotcom, dotcom companies, companies has heightened, heightened fears, privacy abuse, privacy policy, privacy, perils of privacy, abuse, party, privacy The recent, perils, recent
semiconductor optical amplifiers, All-optical XOR gate, semiconductor optical, optical amplifiers, XOR gate, XOR, cross-gain modulation, suggested and demonstrated, demonstrated successfully, additional input beam, All-optical, semiconductor, amplifiers, optical, modulation of semiconductor
transaction related expenditures, adopted electronic commerce, reducing transaction related, related expenditures, connecting with current, potential customers, revenues and profitability, click A number, number of global, adopted electronic, transaction related, current and potential, enhancing revenues, global companies, companies have adopted
Identification of states, states of complex, admissible measurement errors, complex systems, basis of fuzzy, problem of identification, attributes is considered, information The problem, informative attributes, fuzzy set theory, fuzzy information, maximally admissible degree, estimation of admissible, measurement errors, current state
cell biology laboratory, cell biology, biology laboratory Labscape, improve the experience, experience of people, designed to improve, biology, cell, Labscape, laboratory, smart environment, work, laboratory work, smart, people who work
information processing systems, Operational phase-space probability, quantum mechanical systems, describing quantum mechanical, quantum information processing, communication theory Operational, theory Operational phase-space, phase-space probability distribution, including quantum communication, mechanical systems, processing systems, phase-space probability, quantum communication theory, tools for describing, probability distribution
Information architecture, Information, professional practice, architecture, education, architecture education, notes, practice, professional, professional education typically, signs, coalescing, fields, develop, information architecture curriculum
history of science, rare materials, Acquiring materials, article provides detailed, detailed advice, technology, science, medicine This article, basic reference tools, advice on acquiring, history, materials, medicine, Acquiring, fields
Estimating long-range dependence, long horizons, finite sample properties, major issue, issue in financial, financial economics, behavior of asset, asset returns, returns over long, long-range dependence, Estimating long-range, finite sample, long-range, dependence, Estimating
continue to develop, identify changing practices, assess recurring issues, Twenty years, changing practices, literature on acquiring, article reviews, assess recurring, recurring issues, issues and identify, identify changing, develop strong collections, strengthen weak collections, decades of literature, materials
Ford Rouge automobile, Rouge automobile factory, automobile factory turned, Ford Rouge, years ago, factory turned, Rouge, Ford plant, Ford, manufacturing, discrete manufacturing, day, cars, trends, trends in discrete
