gas algorithm Recent, algorithm Recent theoretical, fluid dynamics problems, Recent theoretical results, solve fluid dynamics, quantum lattice gas, lattice gas algorithm, Recent theoretical, theoretical results suggest, quantum information processors, algorithm Recent, information processors communicating, dynamics problems, lattice gas, communicating via classical
classical mathematical formalization, play Individual rationality, machines play Individual, Games machines play, von Neumann-Morgenstern game, predict human behavior, Neumann-Morgenstern game theory, Individual rationality, multiple-agent settings, machines play, explain and predict, predict human, von Neumann-Morgenstern, classical mathematical, mathematical formalization
passive vibration control, vibration isolation, Fractional differentiation, controller is presented, passive vibration, vibration control, illustrate the concept, method to transform, robust controller, transform the design, concept of vibration, design, Fractional, suspension, vibration
dynamic fractional-flow model, serial manufacturing systems, fractional-flow model, serial manufacturing, manufacturing system incorporating, reachability and controllability, system incorporating rework, dynamic fractional-flow, manufacturing systems, controllability properties, manufacturing, model of serial, model, incorporating rework, system incorporating
started reshaping offerings, enterprise-wide content syndication, content syndication technology, Syndicators turn, reshaping offerings, technology and service, started reshaping, enterprise-wide content, Syndicators, Syndicators have started, enterprise Syndicators, products, content syndication, syndication technology, Syndication companies
LSTM Rodriguez, Learning nonregular languages, simple recurrent nets, simple recurrent networks, networks and LSTM, simple recurrent, recurrent nets, Learning nonregular, learning ability, memory recurrent nets, Elman, nonregular languages, recurrent networks, Rodriguez, simple
Orthogonal decompositions, reverse arcs, precisely one pair, pair of reverse, complete digraphs, isomorphic copies, Orthogonal, complete, digraph, vertex-disjoint union, decompositions of complete, decompositions, copies, union, family
quadratic 0-1 knapsack, knapsack problem, underlying graph structure, fairly simple, special cases, structure is fairly, QKP, quadratic, knapsack, series-parallel support, underlying graph, graph structure, series-parallel graphs, edge series-parallel graphs, problem
cerebrum segmentation, three-dimensional sagittal brain, sagittal brain, cerebrum, brain, segmentation, Automated cerebrum segmentation, Automated cerebrum, image, brain MR images, midsagittal brain, full three-dimensional sagittal, three-dimensional sagittal, fully automated cerebrum, sagittal
computer science, earned doctorates reveal, computer, computer science doctorates, science, doctorates, survey of earned, earned doctorates, earned, Education Statistics, National Center, Center for Education, doctorates in computer, science doctorates, completing doctorates
system stability investigations, wind turbine modelling, wind turbine voltage, power system stability, turbine voltage stability, wind turbine, voltage stability control, wind turbine power, mutual effects, grid-connected wind turbines, voltage stability, stability investigations, turbine modelling, system stability, power system
firm Outsell Inc., research firm Outsell, Dick Curtis, Outsell Inc., digital content providers, buy digital content, covers econtent contract, firm Outsell, digital content, buy digital, disconnect continues, negotiation strategies, people who buy, director and lead, lead analyst
W-methods applied, Banach space setting, abstract Banach space, properties of W-methods, W-methods, operator splitting, stability properties, abstract Banach, Banach space, geometric theory, W-methods treat, Stability, theory We analyze, applications to operator, operator
PDA buyer guide, PDA buyer, PDAs move, buyer guide, personal space, firm grip, PDA, PDAs, Networking, hand, guide, enterprise, users, palm, buyer
